BTCUSDT +0,Ci05_2,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:04
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,BaseExitLevel,MaxHoldingBars,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,200,20,361,332,52.09%,2935681157,26.98%,10882.4877
END

BTCUSDT +0,Ci05,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:18
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,-50,150,148,79,65.20%,51677722,13.20%,391.4990
10,9,26,52,-50,200,139,77,64.35%,100770582,12.12%,831.5359
10,9,26,52,-25,50,149,116,56.23%,169648457,15.20%,1115.8454
10,9,26,52,-25,100,152,102,59.84%,58182264,19.41%,299.7953
10,9,26,52,-25,150,160,83,65.84%,84276003,13.00%,648.2991
10,9,26,52,-25,200,151,78,65.94%,187069457,13.58%,1377.9341
10,9,26,52,0,50,163,134,54.88%,179623124,22.25%,807.3366
10,9,26,52,0,100,178,105,62.90%,73902956,19.29%,383.1743
10,9,26,52,0,150,176,85,67.43%,105717555,13.19%,801.3674
10,9,26,52,0,200,164,78,67.77%,243542256,13.46%,1810.0430
10,9,26,52,25,50,180,159,53.10%,622610139,17.50%,3558.0318
10,9,26,52,25,100,192,123,60.95%,151322613,17.83%,848.6676
10,9,26,52,25,150,195,92,67.94%,214868308,13.93%,1542.6244
10,9,26,52,25,200,180,83,68.44%,504553514,13.30%,3794.7847
10,9,26,52,50,50,199,204,49.38%,820116171,14.23%,5762.1030
10,9,26,52,50,100,206,151,57.70%,169306261,17.36%,975.1740
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,50,200,200,94,68.03%,1515537156,13.06%,11604.1801
20,9,26,52,-50,50,56,35,61.54%,11112113,12.25%,90.6977
20,9,26,52,-50,100,60,29,67.42%,4786908,12.25%,39.0710
20,9,26,52,-50,150,60,28,68.18%,6495084,12.25%,53.0133
20,9,26,52,-50,200,59,28,67.82%,7174780,12.25%,58.5610
20,9,26,52,-25,50,65,49,57.02%,18737098,13.20%,141.9934
20,9,26,52,-25,100,68,42,61.82%,7647333,10.74%,71.1986
20,9,26,52,-25,150,68,40,62.96%,10246760,10.04%,102.0348
20,9,26,52,-25,200,66,40,62.26%,9092950,9.44%,96.3033
20,9,26,52,0,50,92,73,55.76%,56671908,14.12%,401.2265
20,9,26,52,0,100,94,61,60.65%,20748868,22.17%,93.5936
20,9,26,52,0,150,100,52,65.79%,33868509,14.83%,228.3834
20,9,26,52,0,200,97,52,65.10%,20799204,21.30%,97.6712
20,9,26,52,25,50,121,104,53.78%,296954206,18.57%,1598.7102
20,9,26,52,25,100,127,83,60.48%,51203402,15.51%,330.1856
20,9,26,52,25,150,135,67,66.83%,110363013,10.59%,1042.0487
20,9,26,52,25,200,131,64,67.18%,71283843,11.76%,606.2072
20,9,26,52,50,50,146,148,49.66%,650186043,18.43%,3527.0792
20,9,26,52,50,100,157,103,60.38%,135427157,20.82%,650.5146
20,9,26,52,50,150,167,75,69.01%,237559918,13.98%,1698.7626
20,9,26,52,50,200,157,73,68.26%,184132828,11.76%,1565.8899
30,9,26,52,-50,50,13,13,50.00%,2001773,8.14%,24.6032
30,9,26,52,-50,100,14,12,53.85%,1867057,7.65%,24.4190
30,9,26,52,-50,150,15,11,57.69%,1830943,7.65%,23.9467
30,9,26,52,-50,200,15,11,57.69%,1756777,7.65%,22.9766
30,9,26,52,-25,50,35,29,54.69%,6173342,13.00%,47.4767
30,9,26,52,-25,100,36,28,56.25%,4121123,16.74%,24.6238
30,9,26,52,-25,150,38,26,59.38%,3225039,16.74%,19.2696
30,9,26,52,-25,200,38,26,59.38%,3120904,16.74%,18.6474
30,9,26,52,0,50,63,35,64.29%,35714198,9.12%,391.6022
30,9,26,52,0,100,63,35,64.29%,15793597,9.12%,173.1750
30,9,26,52,0,150,68,30,69.39%,11317558,9.12%,124.0958
30,9,26,52,0,200,66,31,68.04%,10043233,16.04%,62.5964
30,9,26,52,25,50,84,71,54.19%,91904081,15.15%,606.4925
30,9,26,52,25,100,84,64,56.76%,40992520,23.19%,176.7972
30,9,26,52,25,150,91,53,63.19%,37801279,16.61%,227.5758
30,9,26,52,25,200,87,54,61.70%,32685189,17.65%,185.1983
30,9,26,52,50,50,125,132,48.64%,648518420,13.30%,4875.8709
30,9,26,52,50,100,127,102,55.46%,122055648,16.75%,728.7849
30,9,26,52,50,150,135,83,61.93%,140540899,16.24%,865.3642
30,9,26,52,50,200,130,80,61.90%,164164674,17.44%,941.1193
40,9,26,52,-50,50,9,8,52.94%,2323119,4.65%,49.9719
40,9,26,52,-50,100,9,8,52.94%,1947910,4.65%,41.9009
40,9,26,52,-50,150,9,8,52.94%,1875526,4.51%,41.6132
40,9,26,52,-50,200,10,7,58.82%,1892633,4.51%,41.9928
40,9,26,52,-25,50,23,16,58.97%,4089469,5.26%,77.7817
40,9,26,52,-25,100,23,16,58.97%,3114731,5.26%,59.2422
40,9,26,52,-25,150,23,16,58.97%,2882031,5.26%,54.8163
40,9,26,52,-25,200,24,15,61.54%,2591398,5.26%,49.2884
40,9,26,52,0,50,43,36,54.43%,16710654,9.44%,177.0168
40,9,26,52,0,100,47,31,60.26%,12161575,9.44%,128.8281
40,9,26,52,0,150,46,31,59.74%,12982887,9.44%,137.5283
40,9,26,52,0,200,47,30,61.04%,8780179,9.44%,93.0089
40,9,26,52,25,50,70,56,55.56%,42517331,15.93%,266.8826
40,9,26,52,25,100,76,50,60.32%,32481329,15.93%,203.8863
40,9,26,52,25,150,74,50,59.68%,19956558,13.33%,149.7250
40,9,26,52,25,200,75,48,60.98%,11831628,14.32%,82.6222
40,9,26,52,50,50,119,114,51.07%,563953768,18.80%,2999.4198
40,9,26,52,50,100,128,92,58.18%,205819496,21.38%,962.8402
40,9,26,52,50,150,125,82,60.39%,180247993,15.29%,1178.6169
40,9,26,52,50,200,120,84,58.82%,96464645,20.97%,460.0782
50,9,26,52,-50,50,7,2,77.78%,2653117,1.31%,202.4012
50,9,26,52,-50,100,7,2,77.78%,2466965,1.31%,188.2000
50,9,26,52,-50,150,7,2,77.78%,1988550,1.31%,151.7027
50,9,26,52,-50,200,8,1,88.89%,1964407,1.31%,149.8608
50,9,26,52,-25,50,23,18,56.10%,4923711,11.18%,44.0227
50,9,26,52,-25,100,23,18,56.10%,4486194,11.94%,37.5578
50,9,26,52,-25,150,23,18,56.10%,3534335,11.94%,29.5890
50,9,26,52,-25,200,24,17,58.54%,3054988,11.94%,25.5759
50,9,26,52,0,50,41,38,51.90%,12106945,7.66%,158.1384
50,9,26,52,0,100,40,39,50.63%,8129255,7.66%,106.1826
50,9,26,52,0,150,39,39,50.00%,6527376,7.66%,85.2592
50,9,26,52,0,200,40,38,51.28%,5293284,7.66%,69.1398
50,9,26,52,25,50,72,63,53.33%,81630343,11.66%,700.0002
50,9,26,52,25,100,78,57,57.78%,24227265,13.59%,178.2271
50,9,26,52,25,150,72,60,54.55%,26402178,13.59%,194.2268
50,9,26,52,25,200,75,57,56.82%,18750122,12.24%,153.2186
50,9,26,52,50,50,121,93,56.54%,723147945,14.91%,4849.3135
50,9,26,52,50,100,126,80,61.17%,97384820,15.88%,613.3553
50,9,26,52,50,150,122,77,61.31%,171159043,11.84%,1445.6659
50,9,26,52,50,200,125,72,63.45%,123162500,12.86%,957.5856
END

BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:11:03
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,0,179,157,53.27%,1973103402,15.22%,12966.2607
10,9,26,52,50,50,199,204,49.38%,820116171,14.23%,5762.1030
10,9,26,52,50,100,206,151,57.70%,169306261,17.36%,975.1740
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,50,200,200,94,68.03%,1515537156,13.06%,11604.1801
10,9,26,52,50,250,183,86,68.03%,5265984767,13.06%,40320.6449
10,9,26,52,50,300,168,85,66.40%,13506903857,13.06%,103419.7967
10,9,26,52,75,0,195,167,53.87%,4049786053,14.92%,27144.6696
10,9,26,52,75,50,212,201,51.33%,1146261099,19.29%,5943.4339
10,9,26,52,75,100,240,193,55.43%,320943800,15.05%,2132.6372
10,9,26,52,75,150,245,121,66.94%,812804223,17.29%,4701.2353
10,9,26,52,75,200,220,107,67.28%,5514283361,11.38%,48441.7495
10,9,26,52,75,250,195,101,65.88%,24385842106,11.38%,214224.1844
10,9,26,52,75,300,180,99,64.52%,71817470578,11.38%,630900.4623
10,9,26,52,100,0,187,164,53.28%,2913040842,15.56%,18717.5598
10,9,26,52,100,50,205,185,52.56%,695713828,21.18%,3285.2449
10,9,26,52,100,100,234,238,49.58%,84199408,18.79%,448.2104
10,9,26,52,100,150,239,141,62.89%,338037521,20.74%,1630.0496
10,9,26,52,100,200,217,114,65.56%,2886540719,18.83%,15328.4409
10,9,26,52,100,250,195,103,65.44%,13313057641,18.48%,72058.6886
10,9,26,52,100,300,182,100,64.54%,51079450136,18.48%,276474.2923
10,9,26,52,125,0,181,147,55.18%,1844290235,18.11%,10182.7085
10,9,26,52,125,50,193,170,53.17%,387829060,15.98%,2426.9464
10,9,26,52,125,100,197,204,49.13%,46488810,16.26%,285.8213
10,9,26,52,125,150,215,152,58.58%,93893804,17.37%,540.6263
10,9,26,52,125,200,204,111,64.76%,2427281181,16.42%,14779.4297
10,9,26,52,125,250,182,99,64.77%,13074643436,17.44%,74954.0058
10,9,26,52,125,300,169,96,63.77%,59824311411,17.44%,342959.3937
10,9,26,52,150,0,160,111,59.04%,1579156372,11.36%,13897.5787
10,9,26,52,150,50,170,124,57.82%,347930917,17.79%,1956.0756
10,9,26,52,150,100,163,152,51.75%,38443920,17.12%,224.5090
10,9,26,52,150,150,166,163,50.46%,14276226,19.64%,72.6876
10,9,26,52,150,200,177,98,64.36%,680540034,13.59%,5009.3461
10,9,26,52,150,250,166,77,68.31%,5522602170,17.44%,31659.8427
10,9,26,52,150,300,153,74,67.40%,24981967480,17.44%,143216.0307
END

BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:12:14
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,0,179,157,53.27%,1973103402,15.22%,12966.2607
10,9,26,52,50,50,199,204,49.38%,820116171,14.23%,5762.1030
10,9,26,52,50,100,206,151,57.70%,169306261,17.36%,975.1740
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,50,200,200,94,68.03%,1515537156,13.06%,11604.1801
10,9,26,52,75,0,195,167,53.87%,4049786053,14.92%,27144.6696
10,9,26,52,75,50,212,201,51.33%,1146261099,19.29%,5943.4339
10,9,26,52,75,100,240,193,55.43%,320943800,15.05%,2132.6372
10,9,26,52,75,150,245,121,66.94%,812804223,17.29%,4701.2353
10,9,26,52,75,200,220,107,67.28%,5514283361,11.38%,48441.7495
10,9,26,52,100,0,187,164,53.28%,2913040842,15.56%,18717.5598
10,9,26,52,100,50,205,185,52.56%,695713828,21.18%,3285.2449
10,9,26,52,100,100,234,238,49.58%,84199408,18.79%,448.2104
10,9,26,52,100,150,239,141,62.89%,338037521,20.74%,1630.0496
10,9,26,52,100,200,217,114,65.56%,2886540719,18.83%,15328.4409
10,9,26,52,125,0,181,147,55.18%,1844290235,18.11%,10182.7085
10,9,26,52,125,50,193,170,53.17%,387829060,15.98%,2426.9464
10,9,26,52,125,100,197,204,49.13%,46488810,16.26%,285.8213
10,9,26,52,125,150,215,152,58.58%,93893804,17.37%,540.6263
10,9,26,52,125,200,204,111,64.76%,2427281181,16.42%,14779.4297
10,9,26,52,150,0,160,111,59.04%,1579156372,11.36%,13897.5787
10,9,26,52,150,50,170,124,57.82%,347930917,17.79%,1956.0756
10,9,26,52,150,100,163,152,51.75%,38443920,17.12%,224.5090
10,9,26,52,150,150,166,163,50.46%,14276226,19.64%,72.6876
10,9,26,52,150,200,177,98,64.36%,680540034,13.59%,5009.3461
END

BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:12:51
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,75,150,245,121,66.94%,812804223,17.29%,4701.2353
10,9,26,52,100,150,239,141,62.89%,338037521,20.74%,1630.0496
10,9,26,52,125,150,215,152,58.58%,93893804,17.37%,540.6263
10,9,26,52,150,150,166,163,50.46%,14276226,19.64%,72.6876
END

BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:13:31
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,50,175,210,98,68.18%,581889705,16.08%,3618.6766
10,9,26,52,50,200,200,94,68.03%,1515537156,13.06%,11604.1801
10,9,26,52,75,150,245,121,66.94%,812804223,17.29%,4701.2353
10,9,26,52,75,175,234,113,67.44%,1701211954,17.29%,9839.7591
10,9,26,52,75,200,220,107,67.28%,5514283361,11.38%,48441.7495
10,9,26,52,100,150,239,141,62.89%,338037521,20.74%,1630.0496
10,9,26,52,100,175,229,127,64.33%,767257734,18.83%,4074.3804
10,9,26,52,100,200,217,114,65.56%,2886540719,18.83%,15328.4409
END

BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:13:59
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
5,9,26,52,50,150,304,155,66.23%,2903781490,18.05%,16083.6004
5,9,26,52,50,175,222,121,64.72%,157454893662,16.85%,934201.0314
5,9,26,52,50,200,222,121,64.72%,157454893662,16.85%,934201.0314
5,9,26,52,75,150,305,177,63.28%,3362383992,16.07%,20927.2820
5,9,26,52,75,175,221,120,64.81%,414370299590,13.79%,3005708.4337
5,9,26,52,75,200,221,120,64.81%,414370299590,13.79%,3005708.4337
5,9,26,52,100,150,312,167,65.14%,2279657635,15.56%,14646.6304
5,9,26,52,100,175,217,115,65.36%,349388258753,13.75%,2540694.9573
5,9,26,52,100,200,217,115,65.36%,349388258753,13.75%,2540694.9573
10,9,26,52,50,150,218,103,67.91%,408206880,18.12%,2252.4205
10,9,26,52,50,175,210,98,68.18%,581889705,16.08%,3618.6766
10,9,26,52,50,200,200,94,68.03%,1515537156,13.06%,11604.1801
10,9,26,52,75,150,245,121,66.94%,812804223,17.29%,4701.2353
10,9,26,52,75,175,234,113,67.44%,1701211954,17.29%,9839.7591
10,9,26,52,75,200,220,107,67.28%,5514283361,11.38%,48441.7495
10,9,26,52,100,150,239,141,62.89%,338037521,20.74%,1630.0496
10,9,26,52,100,175,229,127,64.33%,767257734,18.83%,4074.3804
10,9,26,52,100,200,217,114,65.56%,2886540719,18.83%,15328.4409
15,9,26,52,50,150,191,93,67.25%,271272287,11.31%,2398.1491
15,9,26,52,50,175,188,89,67.87%,372409301,11.31%,3292.2384
